story_pharo_phrase_5374910294,"اِسْتَغْرَبَ فَرِيدٌ هَيَجَانَهُمْ اَلْمُفْزِعَ ، وَاعْتَذَرَ مِنْهُمْ بَعْدَ أَنْ فَسَّرَ لَهُ وُلِدٌ طَيِّبٌ بِجَانِبِهِ أَنَّهُمْ يُقَدِّسُونَ اَلْقِطَطَ ، فَهُمْ يَعْتَبِرُونَهَا رَمْزًا لِلنِّعْمَةِ وَالِاتِّزَانِ ، وَتُمَثِّلَ لَهُمْ اَلْأَمَانَ وَالْحِمَايَةَ وَالطُّمَأْنِينَةَ ، وَيَا وَيْلَ مَنْ يُؤْذِي أَحَدَ اَلْقِطَطِ أَوْ يَسْجُنُهَا عَنْ قَصْدٍ ! !","Ferid fut étonné par leur réaction et leur présenta ses excuses lorsqu'un jeune garçon lui expliqua que les Égyptiens considéraient les chats comme des animaux sacrés. Ils représentaient pour eux la prospérité, l'équilibre, la sécurité et la protection. Malheur à quiconque faisait du mal à un chat ou l'enfermait volontairement !","Ferid was surprised by their reaction and apologized after a kind boy explained that the Egyptians regarded cats as sacred. To them, cats symbolized prosperity, balance, safety, and protection. Woe to anyone who harmed a cat or deliberately imprisoned one!"
story_pharo_phrase_6728103948,"بَيْنَمَا كَانَ فَرِيدٌ يَتَحَدَّثُ مَعَ أَحَدِ اَلْأَهَالِي، لَاحَظَ أَنَّ اَلْكَثِيرَ مِنْ اَلشُّيُوخِ وَالْأَطْفَالِ حَوْلَهُ يَسْعَلُونَ كَثِيرًا وَتَظْهَرُ عَلَيْهِمْ عَلَامَاتُ اَلْمَرَضِ وَالْحُمَّى ، كَمَا لَاحَظَ أَنَّ الْقِطَطَ كَذَلِكَ خَامِلَةٌ وَتَتَنَفَّسُ بِصُعُوبَةٍ ، فَفَتَحَ جِهَازُهُ وَبَحَثَ عَنْ تَفْسِيرِ هَذِهِ اَلْعَلَامَاتِ اَلْمَرَضِيَّةِ، فَوَجَدَ أَنَّهُ دَاءُ اَلْمُقَوَّسَاتِ .","Alors qu'il discutait avec un habitant, Ferid remarqua que de nombreuses personnes âgées et des enfants toussaient et présentaient des symptômes de fièvre. Les chats semblaient eux aussi affaiblis et respiraient difficilement. Après avoir consulté son appareil, il identifia la maladie comme étant la toxoplasmose.","While speaking with one of the townspeople, Ferid noticed that many elderly people and children were coughing and showing signs of fever. The cats also seemed weak and had difficulty breathing. He checked his device and identified the illness as toxoplasmosis."
story_pharo_phrase_7284710482,"فَسَّرَ فَرِيدٌ لِلْأَهَالِي أَنَّ هَذَا الدَّاءَ سَبَبَهُ تَنَاوُلُ الْقِطَطِ لِلَّحْمِ اَلنَّيِّئِ، وَأَنَّهُ مَرَضٌ مُعْدٍ يُؤَثِّرُ عَلَى أَصْحَابِ الْمَنَاعَةِ الضَّعِيفَةِ، كَالشُّيُوخِ وَالْأَطْفَالِ ، وَأَنَّ هَذِهِ الْعَدْوَى سَبَبُهَا الْعَيْشُ مَعَ الْقِطَطِ فِي اَلْمَنَازِلِ وَاحْتِكَاكِهَا بِالْبَشَرِ . لَكِنَّهُمْ لَا يَسْتَطِيعُونَ طَرْدَهَا وَلَا اَلِاسْتِغْنَاءَ عَنْهَا . فَمَا اَلْحَلُّ ؟","Ferid expliqua aux habitants que cette maladie était causée par la consommation de viande crue par les chats et qu'elle était contagieuse, en particulier pour les personnes ayant un système immunitaire fragile, comme les enfants et les personnes âgées. La contamination se faisait par le contact étroit avec les chats vivant dans les maisons. Mais ils ne pouvaient pas se séparer de leurs chats. Quelle était donc la solution ?","Ferid explained that the disease was caused by cats eating raw meat and that it was contagious, especially to people with weakened immune systems, such as children and the elderly. The infection spread through close contact with cats inside the home. However, the people could not simply abandon the animals. So what was the solution?"
story_pharo_phrase_8849102947,"فَكَّرَ فَرِيدٌ لِوَهْلَةٍ وَاسْتَنْبَطَ حَلًّا عَمَلِيًّا ، وَهُوَ أَنَّ يَتِمُّ إِنْشَاءُ عِيَادَةٍ كَبِيرَةٍ لِلْقِطَطِ فِي أَقْصَى اَلْمَدِينَةَ، تُعْزَلُ فِيهَا كُلُّ اَلْقِطَطِ الْمَرْضَى وَيَعْتَنِي بِهَا اَلْمُخْتَصُّونَ فِي اَلْعِنَايَةِ بِالْحَيَوَانَاتِ ، وَيُرَافِقُهُمْ بَعْضُ الطَّبَّاخِينَ لِطَهْيِ مَأْكُولَاتِهَا . فَتَمَّ عَرْضُ اَلِاقْتِرَاحِ عَلَى مَلِكِ اَلْبِلَادِ مَعَ خَدَمِهِ فِي الْبَلَاطِ، وَالَّذِينَ وَافَقُوا بِدَوْرِهِمْ عَلَى الْفَوْرِ","Après un moment de réflexion, Ferid proposa une solution pratique : construire une grande clinique pour les chats à l'extérieur de la ville. Les chats malades y seraient isolés, soignés par des spécialistes des animaux et nourris avec des repas cuits préparés par des cuisiniers. Le projet fut présenté au roi et à sa cour, qui l'approuvèrent immédiatement.","After thinking for a moment, Ferid proposed a practical solution: building a large veterinary clinic for cats on the outskirts of the city. Sick cats would be isolated there, cared for by animal specialists, and fed properly cooked meals. The proposal was presented to the king and his royal court, who approved it immediately."
story_pharo_phrase_9729104839,"جَلَسَ فَرِيدٌ مَعَ عُمَّالِ الْبِنَاءِ وَرَسَمَ مُخَطَّطَ الْعِيَادَةِ عَلَى أَوْرَاقِ نَبَاتِ الْبُرْدِيِّ الْمَشْهُورِ، اَلَّذِي يَصْنَعُونَهُ فِي ذَلِكَ الزَّمَنِ. وَأَكَّدَ عَلَى أَنْ تَكُونَ فِي وَسَطِ الْعِيَادَةِ مِسَاحَةٌ كَبِيرَةٌ تَسْمَحُ بِحُرِّيَّةِ اَلْقِطَطِ وَتَعَرُّضِهَا لِلْهَوَاءِ اَلنَّقِيِّ وَالنَّسَائِمِ اَلصَّبَاحِيَّةِ.","Ferid s'assit avec les bâtisseurs et dessina les plans de la clinique sur des feuilles de papyrus. Il insista pour qu'elle comporte une grande cour permettant aux chats de se déplacer librement et de profiter de l'air pur ainsi que de la fraîcheur matinale.","Ferid sat down with the builders and drew the clinic's plans on sheets of papyrus. He made sure the design included a large open courtyard where the cats could move freely and enjoy fresh air and the morning breeze."
story_pharo_phrase_1049284729,"تَمَّ إِنْجَازُ الْعِيَادَةِ وَقَامَتْ كُلَّ الْعَائِلَاتِ بِجَلْبِ قِطَطِهَا الْمَرِيضَةِ إِلَيْهَا كُلُّ يَوْمٍ. وَأَشْرَفَ فَرِيدٌ عَلَى تَنْظِيمِ الْقِطَطِ وَمُسَاعَدَةِ الْعُمَّالِ عَلَى الاعْتِنَاءِ بِهَا وَتَقْدِيمِ النَّصَائِحِ لِلْعَائِلَاتِ بِالاعْتِنَاءِ بِمَرْضَاهُمْ.","La clinique fut achevée, et les familles y amenaient chaque jour leurs chats malades. Ferid supervisa son organisation, aida les soigneurs à prendre soin des animaux et donna de précieux conseils aux familles sur la meilleure façon de s'occuper de leurs compagnons.","The clinic was completed, and families brought their sick cats there every day. Ferid supervised its organization, helped the workers care for the animals, and gave families valuable advice on how to look after their pets."
story_pharo_phrase_1138472910,"وَبَعْدَ مُدَّةٍ ، بَدَأَتْ صَحَّةَ الشُّيُوخِ وَالْأَطْفَالِ تَتَحَسَّنُ خُطْوَةً بِخُطْوَةٍ. وَاسْتَرْجَعَتْ الْقِطَطُ قُوَّتَهَا وَرَجِعَتْ إِلَى نَشَاطِهَا اَلسَّابِقِ . فَشَعَرَ اَلْأَهَالِي بِرُوحِ الْأَمَلِ فِي الاعْتِنَاءِ مِنْ جَدِيدٍ بِقِطَطِهِمْ وَأَهَالِيهِمْ، وَتَمَّ تَكْرِيمُ فَرِيدٍ عَلَى عَبْقَرِيَّتِهِ فِي حَلِّ اَلْمُشْكِلَاتِ وَاسْتِنْبَاطِ اَلْحُلُولِ اَلرَّائِعَةِ !","Au fil du temps, la santé des personnes âgées et des enfants s'améliora progressivement, tandis que les chats retrouvèrent leur force et leur vitalité. L'espoir revint parmi les habitants, qui rendirent hommage à Ferid pour son génie dans la résolution des problèmes et son talent à imaginer d'excellentes solutions.","After some time, the health of the elderly and children gradually improved, and the cats regained their strength and energy. Hope returned to the people, and they honored Ferid for his brilliance in solving problems and creating effective solutions."

story_history_iraq_babylon_phrase_4829103847,"وَاصَلَ فَرِيدٌ رِحْلَتَهُ فِي بَحْرِ الْحَضَارَاتِ وَغَاصَ فِيهِ مُتَعَطِّشًا لِكُلِّ مَا يَحْمِلُهُ مِنْ مَعْلُومَاتٍ وَغُمُوضٍ وَإِثَارَةٍ .فَتَذَكَّرَ فَجْأَةِ أَنَّهُ سَمِعَ عَنْ حَضَارَةٍ سُمِّيَتْ بِالْحَضَارَةِ الْبَابِلِيَّةِ فِي الْعِرَاقِ . فَوَخْزَ التَّحَمُّسُ ذِهْنَهُ وَجَعْلَهُ مُتَشَوِّقًا لِمَعْرِفَةِ الْمَزِيدِ عَنْهَا وَعَنْ النِّظَامِ الْمَائِيِّ وَالتِّجَارِيِّ فِيهَا .","Ferid poursuivit son voyage à travers la mer des civilisations, s’y plongeant avec une soif inextinguible de découvertes, de mystères et d’aventures. Soudain, il se souvint avoir entendu parler de la civilisation babylonienne en Irak. L’enthousiasme envahit son esprit et lui donna envie d’en apprendre davantage, notamment sur son système hydraulique et son organisation commerciale.","Ferid continued his journey through the sea of civilizations, diving into it with an endless thirst for knowledge, mystery, and adventure. Suddenly, he remembered hearing about the Babylonian civilization in Iraq. Excitement filled his mind and made him eager to discover more about it, especially its remarkable water management and trading systems."
story_history_iraq_babylon_phrase_5938201928,"اِنْتَقَلَ ٱلرُّوبُوت الْفَطِنُ كَالسَّهْمِ نَحْوَ آلَةِ الزَّمَنِ وَحَدَّدَ وِجْهَتَهُ بِالْعَوْدَةِ إِلَى الْقَرْنِ السَّادِسِ قَبْلَ المِيلَادِ . وَفِي لَمْحِ الْبَصَرِ سَافَرَ بَيْنَ الْعُصُورِ وَنَفْسِهِ مَلِيئَةً بِالْأَسْئِلَة.","Le robot ingénieux se dirigea vers sa machine à voyager dans le temps à la vitesse d’une flèche et programma sa destination au VIe siècle avant J.-C. En un clin d’œil, il traversa les époques, l’esprit rempli de questions.","The clever robot hurried to his time machine like an arrow and set his destination for the sixth century BC. In the blink of an eye, he traveled through the ages, his mind overflowing with questions."
story_history_iraq_babylon_phrase_1049283746," لِيَجِد نَفْسَهُ فَوْقَ كُثْبَانٍ رَمْلِيَّةٍ عَالِيَةٍ فِي الصَّحْرَاءِ تُطِلُّ عَلَى مَدِينَةِ بَابِلَ وَأَحْيَائِهَا ! فَحُبَسَتْ أَنْفَاسُهُ مِمَّا رَآهُ مِنْ نِظَامٍ فِي الْمَدِينَةِ وَطُرُقَاتٍ وَسُورٍ سَمِيكٍ جِدًّا يُحِيطُهَا وَقَنَوَاتِ رَيٍّ تَمْتَدُّ وُصُولاً لِلْأَرَاضِي الْفَلَّاحِيَّةِ.","Il se retrouva au sommet de hautes dunes de sable dominant la ville de Babylone et ses quartiers. Il resta sans voix devant l’organisation de la cité, ses rues, son immense mur d’enceinte et les canaux d’irrigation qui s’étendaient jusqu’aux terres agricoles.","He found himself standing atop towering sand dunes overlooking the city of Babylon and its neighborhoods. He was left speechless by the city's organization, its streets, its enormous protective walls, and the irrigation canals stretching all the way to the farmlands."
